bioguideId,last_name,first_name,party,state,chamber,chamber_id
M001183,Manchin,Joe,D,WV,Senate,2
M001111,Murray,Patty,D,WA,Senate,2
P000590,Pryor,Mark,D,AR,Senate,2
T000461,Toomey,Pat,R,PA,Senate,2
H001049,Hagan,Kay,D,NC,Senate,2
J000291,Johanns,Mike,R,NE,Senate,2
A000368,Ayotte,Kelly,R,NH,Senate,2
R000122,Reed,John,D,RI,Senate,2
M000934,Moran,Jerry,R,KS,Senate,2
T000250,Thune,John,R,SD,Senate,2
W000817,Warren,Elizabeth,D,MA,Senate,2
N000032,Nelson,Clarence,D,FL,Senate,2
B001288,Booker,Cory,D,NJ,Senate,2
M001169,Murphy,Christopher,D,CT,Senate,2
C000141,Cardin,Benjamin,D,MD,Senate,2
W000818,Walsh,John,D,MT,Senate,2
C001071,Corker,Bob,R,TN,Senate,2
R000361,Rockefeller,Jay,D,WV,Senate,2
U000038,Udall,Mark,D,CO,Senate,2
M001170,Mccaskill,Claire,D,MO,Senate,2
B001230,Baldwin,Tammy,D,WI,Senate,2
W000779,Wyden,Ron,D,OR,Senate,2
M000355,Mcconnell,Mitch,R,KY,Senate,2
C000127,Cantwell,Maria,D,WA,Senate,2
C001099,Cowan,"William ""Mo""",D,MA,Senate,2
C001100,Chiesa,Jeffrey,R,NJ,Senate,2
S000320,Shelby,Richard,R,AL,Senate,2
K000148,Kerry,John,D,MA,Senate,2
P000611,Poliquin,Bruce,R,ME,House,1
R000603,Rouzer,David,R,NC,House,1
R000601,Ratcliffe,John,R,TX,House,1
N000189,Newhouse,Dan,R,WA,House,1
G000570,Guinta,Frank,R,NH,House,1
W000821,Westerman,Bruce,R,AR,House,1
G000576,Grothman,Glenn,R,WI,House,1
Y000066,Young,David,R,IA,House,1
B001294,Blum,Rod,R,IA,House,1
H001071,Hice,Jody,R,GA,House,1
E000294,Emmer,Tom,R,MN,House,1
B001291,Babin,Brian,R,TX,House,1
H001072,Hill,J.,R,AR,House,1
T000475,Trott,David,R,MI,House,1
M001197,Mcsally,Martha,R,AZ,House,1
R000604,Russell,Steve,R,OK,House,1
B001296,Boyle,Brendan,D,PA,House,1
L000582,Lieu,Ted,D,CA,House,1
J000297,Jenkins,Evan,R,WV,House,1
W000819,Walker,Mark,R,NC,House,1
A000372,Allen,Rick,R,GA,House,1
Z000017,Zeldin,Lee,R,NY,House,1
A000374,Abraham,Ralph,R,LA,House,1
L000585,Lahood,Darin,R,IL,House,1
L000583,Loudermilk,Barry,R,GA,House,1
P000609,Palmer,Gary,R,AL,House,1
B001293,Bishop,Mike,R,MI,House,1
C001105,Comstock,Barbara,R,VA,House,1
H001070,Hardy,Cresent,R,NV,House,1
M001195,Mooney,Alexander,R,WV,House,1
Z000018,Zinke,Ryan,R,MT,House,1
D000613,Dold,Robert,R,IL,House,1
K000388,Kelly,Trent,R,MS,House,1
B001292,Beyer,Donald,D,VA,House,1
T000474,Torres,Norma,D,CA,House,1
R000602,Rice,Kathleen,D,NY,House,1
G000574,Gallego,Ruben,D,AZ,House,1
M001196,Moulton,Seth,D,MA,House,1
N000188,Norcross,Donald,D,NJ,House,1
A000371,Aguilar,Pete,D,CA,House,1
T000473,Takai,Mark,D,HI,House,1
D000623,Desaulnier,Mark,D,CA,House,1
L000581,Lawrence,Brenda,D,MI,House,1
A000373,Ashford,Brad,D,NE,House,1
G000575,Graham,Gwen,D,FL,House,1
W000822,Watson Coleman,Bonnie,D,NJ,House,1
C001107,Curbelo,Carlos,R,FL,House,1
C001103,Carter,Earl,R,GA,House,1
K000387,Knight,Stephen,R,CA,House,1
B001297,Buck,Ken,R,CO,House,1
P000610,Plaskett,Stacey,D,VI,House,1
D000624,Dingell,Debbie,D,MI,House,1
L000584,Love,Mia,R,UT,House,1
M001194,Moolenaar,John,R,MI,House,1
K000386,Katko,John,R,NY,House,1
W000820,Walters,Mimi,R,CA,House,1
B001295,Bost,Mike,R,IL,House,1
G000577,Graves,Garret,R,LA,House,1
S001196,Stefanik,Elise,R,NY,House,1
